slug,title,isco08_code,isco08_level,role_family,value_chain,source_locator
engineering-professionals,Engineering professionals (excluding electrotechnology),214,minor,Engineering,upstream|midstream|downstream,ILO Table 2
mineral-processing-plant-operators,Mining and mineral processing plant operators,8112,unit,Operations,upstream|midstream,ILO Table 2
sheet-structural-metal-workers-and-welders,Sheet and structural metal workers moulders and welders,721,minor,Construction and fabrication,upstream|midstream|downstream,ILO Table 2
ships-deck-crews,Ships deck crews and related workers,8350,unit,Marine,upstream|midstream,ILO Table 2
machinery-mechanics-and-repairers,Machinery mechanics and repairers,723,minor,Maintenance,upstream|midstream|downstream,ILO Table 2
heavy-truck-and-bus-drivers,Heavy truck and bus drivers,833,minor,Transport and logistics,midstream|downstream,ILO Table 2
ship-and-aircraft-controllers-and-technicians,Ship and aircraft controllers and technicians,315,minor,Marine and aviation support,upstream|midstream,ILO Table 2
finance-professionals,Finance professionals,241,minor,Finance and commercial support,access|upstream|midstream|downstream,ILO Table 2
physical-and-engineering-science-technicians,Physical and engineering science technicians,311,minor,Technical operations,upstream|midstream|downstream,ILO Table 2
process-control-technicians,Process control technicians,313,minor,Technical operations,upstream|midstream|downstream,ILO Table 2
administration-professionals,Administration professionals,242,minor,Administrative support,access|upstream|midstream|downstream,ILO Table 2
other-health-professionals,Other health professionals,226,minor,Health and welfare support,upstream|midstream|downstream,ILO Table 2
architects-planners-surveyors-and-designers,Architects planners surveyors and designers,216,minor,Design and surveying,access|upstream|midstream|downstream,ILO Table 2
mining-and-construction-labourers,Mining and construction labourers,931,minor,Construction,upstream|midstream|downstream,ILO Table 2
painters-and-building-cleaners,Painters building structure cleaners and related trades workers,713,minor,Facilities and construction support,midstream|downstream,ILO Table 2
shop-salespersons,Shop salespersons,522,minor,Commercial support,downstream,ILO Table 2
cooks,Cooks,5120,unit,Catering and hospitality,upstream|midstream|downstream,ILO Table 2
environmental-and-occupational-health-professionals,Environmental and occupational health and hygiene professionals,2263,unit,HSE,upstream|midstream|downstream,ILO executive summary
